col0,col1,col2,col3,col4,col5,col6,col7,col8
63.3623,196.0152,155.5795,76.3119,155.1303,63.8285,192.0399,79.7977,1
45.1544,183.4136,160.2247,79.93,151.3072,55.7492,201.7826,72.8298,1
58.9288,199.3224,191.4477,46.9023,194.5157,77.7059,224.2073,98.5835,1
79.4679,216.1654,175.6691,82.4199,183.5577,78.8264,224.1341,80.6963,1
86.3269,256.0437,225.0676,78.1798,224.23,151.8005,264.628,103.342,1
87.9698,240.9617,190.8678,80.5532,208.1451,79.5895,247.7941,104.3366,1
80.0505,248.4043,224.1429,79.5207,231.1851,145.6699,279.5383,88.2525,1
129.6632,247.1188,198.9379,105.0504,184.1852,98.0103,244.9413,112.7487,1
61.4694,159.6757,162.4209,101.4549,128.3528,80.5434,184.3379,88.8671,1
48.0034,176.8952,118.4215,98.07,142.5673,64.7007,182.7708,80.2771,1
56.1639,215.4422,194.4459,93.5851,167.3978,89.2155,239.8927,102.6994,1
73.4175,191.6842,183.3087,57.2326,184.9909,70.0209,232.3848,87.1022,1
71.7946,183.8368,175.7915,48.228,184.0345,47.8748,232.9194,79.5084,1
56.8468,200.097,183.481,65.6011,174.2467,41.4643,238.3936,86.8143,1
56.155,192.3746,192.5401,65.6347,158.4869,64.3066,209.4032,69.86,1
71.175,194.7258,199.9167,61.2238,154.5207,85.2626,199.6462,72.4958,1
53.8553,194.3856,184.9534,68.452,169.0337,80.5206,199.0803,87.9579,1
48.2853,226.4323,182.6572,86.6261,167.3867,97.2527,223.4284,103.7389,1
48.3835,209.9422,174.1772,79.027,168.4317,95.7526,232.3322,87.7647,1
80.5208,271.7209,207.5807,105.2686,175.379,110.0728,225.2797,79.4367,1
88.5937,247.6342,216.0715,89.9216,183.9192,94.0319,232.2165,95.5337,1
64.6502,226.3727,189.1123,64.0977,183.8527,81.1467,233.0352,86.4409,1
63.8247,207.7308,192.7319,87.7609,183.5688,103.7141,225.2286,97.1343,1
63.2287,201.5772,182.7643,79.7866,193.4819,110.4858,224.4809,98.4816,1
254.5619,151.595,144.1652,200.002,151.9487,105.0656,169.5352,125.7918,0
118.6818,161.8571,134.9506,103.8175,168.2077,79.9025,72.1116,111.6638,0
49.8683,116.6851,82.7788,62.844,94.7351,63.845,217.3479,193.332,0
135.9465,139.0172,109.8652,95.8346,42.8962,167.1788,77.8829,232.6526,0
96.7401,744.7421,158.8424,137.1425,78.7969,185.2377,102.7255,63.8279,0
90.2008,85.9136,128.6561,47.8728,167.2586,57.6004,247.647,71.6947,0
141.6609,24.9498,137.0064,23.1372,88.3697,127.6493,88.9889,127.0561,0
56.2779,151.6579,103.9575,87.7656,119.6789,79.7872,95.903,72.6655,0
129.6544,373.7891,120.868,79.2699,79.7875,152.0389,95.742,48.8923,0
167.5536,54.9148,145.2638,86.7788,87.7542,410.1565,94.135,64.4617,0
143.6138,89.002,111.0869,103.9878,97.0841,87.6099,112.2334,55.4805,0
82.1668,166.5518,71.8079,104.62,167.9997,88.2008,159.1194,608.3361,0
97.2146,278.3445,122.2326,126.1826,63.3429,88.9025,112.045,96.7052,0
107.4715,108.9312,177.1618,64.8278,94.0202,56.4828,120.5287,62.8328,0
94.0478,105.7042,102.5307,152.1977,72.8047,143.6151,54.8536,152.7998,0
128.6807,71.377,144.0237,154.1147,53.5642,64.5015,71.872,112.5814,0
61.8272,104.9769,102.0392,121.5058,934.7907,273.8685,46.3158,105.7181,0
139.646,108.3674,192.3985,167.5863,97.2409,702.1881,216.5944,191.8764,0
104.314,105.59,93.7509,88.9357,97.817,93.7756,80.4292,79.3,0
113.7616,7.4492,190.806,63.7877,113.504,70.8137,119.5963,74.4158,0
103.7998,71.159,106.4683,46.0053,96.0989,103.7242,95.9814,176.8249,0
80.2742,146.7847,167.5819,85.7265,119.6764,194.273,2245.5601,192.073,0
952.1344,144.1265,63.8295,216.4218,104.0663,167.7403,96.2609,81.0646,0
47.8695,144.9432,598.6204,97.266,495.8884,143.0584,144.5774,159.7781,0
174.3956,160.1404,64.8389,54.0743,239.9671,159.5744,16.2347,88.4373,0
31.9094,81.7774,37.8992,79.7855,7.9782,0.9976,79.3121,26.9279,0
7.981,1.5483,7.6161,73.2795,5.9787,97.0289,1.4484,5.5341,0
72.8073,5.9837,86.7661,7.9791,8.9745,0.9977,78.3255,16.8521,0
0.9997,0.9954,13.7049,56.3219,17.1251,209.0684,166.8656,103.3849,0
15.9117,127.5909,16.121,8.9232,111.5135,9.9723,61.5666,80.8224,0
28.9223,15.9653,77.7836,296.0325,480.1968,38.8927,160.3879,24.1735,0
112.4771,7.4974,258.4807,157.6683,31.9275,161.0138,127.7005,170.5449,0
56.3605,151.1651,263.5454,210.2277,15.0664,80.805,119.1117,46.8705,0
301.5366,160.3007,16.3108,199.484,7.9733,0.9974,0.9974,197.3324,0
0.9708,228.0054,0.9993,0,333.799,15.9558,0.9972,191.4546,0
2.9838,143.1486,8.1327,184.6768,7.9831,2.9895,502.07,2.2131,0
0.9939,144.8988,6.4056,567.8372,193.4702,142.5344,306.5722,184.5056,0
120.0795,168.8938,112.6613,167.2647,95.4023,104.3383,120.305,63.2104,0
225.683,135.2728,143.0109,95.2639,120.3959,258.0537,133.2116,224.4771,0
152.6416,127.3085,120.194,191.9036,200.0676,871.8849,177.5843,86.7191,0



